preprocessing,k1,b,query_id,precision_at_10,recall_at_10,average_precision
without_stopwords_with_stemming,0.5,0.0,75,0.0,0.0,0.018693531087062083
without_stopwords_with_stemming,0.5,0.0,76,0.2,0.2857142857142857,0.13640613903971482
without_stopwords_with_stemming,0.5,0.0,77,0.2,0.3333333333333333,0.31748589574676533
without_stopwords_with_stemming,0.5,0.0,78,0.3,1.0,0.8095238095238094
without_stopwords_with_stemming,0.5,0.0,79,0.1,0.2,0.043613369881853145
without_stopwords_with_stemming,0.5,0.0,8,0.1,0.09090909090909091,0.142079478348256
without_stopwords_with_stemming,0.5,0.0,80,0.0,0.0,0.009500381275634448
without_stopwords_with_stemming,0.5,0.0,81,0.2,1.0,0.7
without_stopwords_with_stemming,0.5,0.0,82,0.1,0.2,0.117540253580716
without_stopwords_with_stemming,0.5,0.0,83,0.1,0.25,0.16525398337009792
without_stopwords_with_stemming,0.5,0.0,84,0.3,0.2727272727272727,0.3779613779142382
without_stopwords_with_stemming,0.5,0.0,85,0.1,0.25,0.13598615078568138
without_stopwords_with_stemming,0.5,0.0,86,0.2,1.0,0.45
without_stopwords_with_stemming,0.5,0.0,87,0.0,0.0,0.010644231286201497
without_stopwords_with_stemming,0.5,0.0,88,0.6,1.0,0.6496031746031746
without_stopwords_with_stemming,0.5,0.0,89,0.2,0.3333333333333333,0.14696700339132462
without_stopwords_with_stemming,0.5,0.0,9,0.3,1.0,0.5888888888888889
without_stopwords_with_stemming,0.5,0.0,90,0.3,0.23076923076923078,0.21644910625771455
without_stopwords_with_stemming,0.5,0.0,91,0.4,0.4444444444444444,0.42021556632667745
without_stopwords_with_stemming,0.5,0.0,92,0.6,0.46153846153846156,0.45930716217240136
without_stopwords_with_stemming,0.5,0.0,93,0.1,1.0,0.5
without_stopwords_with_stemming,0.5,0.0,94,0.5,0.4166666666666667,0.536477618778128
without_stopwords_with_stemming,0.5,0.0,95,0.2,1.0,0.39285714285714285
without_stopwords_with_stemming,0.5,0.0,96,0.7,0.5384615384615384,0.4924204542992604
without_stopwords_with_stemming,0.5,0.0,97,0.3,0.3,0.21583961221203882
without_stopwords_with_stemming,0.5,0.0,98,0.0,0.0,0.02028294232393371
without_stopwords_with_stemming,0.5,0.0,99,0.2,0.5,0.2888368983957219
without_stopwords_with_stemming,0.5,0.75,1,0.4,0.14285714285714285,0.1699216481960187
without_stopwords_with_stemming,0.5,0.75,10,0.1,0.125,0.13871357837231582
without_stopwords_with_stemming,0.5,0.75,100,0.3,0.3333333333333333,0.25630974731856954
without_stopwords_with_stemming,0.5,0.75,101,0.5,0.8333333333333334,0.6688492063492064
without_stopwords_with_stemming,0.5,0.75,102,0.2,0.5,0.17340314913844326
without_stopwords_with_stemming,0.5,0.75,103,0.1,0.5,0.056347948582496914
without_stopwords_with_stemming,0.5,0.75,104,0.1,0.2,0.17441906139912539
without_stopwords_with_stemming,0.5,0.75,105,0.3,0.6,0.543469387755102
without_stopwords_with_stemming,0.5,0.75,106,0.3,0.6,0.541311612364244
without_stopwords_with_stemming,0.5,0.75,107,0.3,0.42857142857142855,0.2844153148245418
without_stopwords_with_stemming,0.5,0.75,108,0.5,0.7142857142857143,0.8090659340659341
without_stopwords_with_stemming,0.5,0.75,109,0.0,0.0,0.04244754329793782
without_stopwords_with_stemming,0.5,0.75,11,0.2,0.2857142857142857,0.15200902297249133
without_stopwords_with_stemming,0.5,0.75,110,0.1,0.25,0.054388124995169304
without_stopwords_with_stemming,0.5,0.75,111,0.2,0.2857142857142857,0.27902662639504744
without_stopwords_with_stemming,0.5,0.75,112,0.1,0.5,0.2916666666666667
without_stopwords_with_stemming,0.5,0.75,113,0.1,0.25,0.08092659046606415
without_stopwords_with_stemming,0.5,0.75,114,0.1,0.25,0.14988856391630515
without_stopwords_with_stemming,0.5,0.75,115,0.1,0.25,0.03690028834811395
without_stopwords_with_stemming,0.5,0.75,116,0.2,0.4,0.07888823232292733
without_stopwords_with_stemming,0.5,0.75,117,0.0,0.0,0.03380681818181818
without_stopwords_with_stemming,0.5,0.75,118,0.2,0.6666666666666666,0.30409356725146197
without_stopwords_with_stemming,0.5,0.75,119,0.1,1.0,1.0
without_stopwords_with_stemming,0.5,0.75,12,0.2,0.4,0.24994409559388497
without_stopwords_with_stemming,0.5,0.75,120,0.3,0.3333333333333333,0.32475113527357824
without_stopwords_with_stemming,0.5,0.75,121,0.4,0.5714285714285714,0.4785403352783181
without_stopwords_with_stemming,0.5,0.75,122,0.5,0.5555555555555556,0.29592206041775565
